split,system,rows,positives,AUPRC_mean,AUPRC_std,FPR95_mean,macro_F1_mean,ECE_mean
full_test,cross_attentive_gate,3372,1683,0.8797,0.0011,0.4958,0.7906,0.0529
full_test,residual_correction_gate,3372,1683,0.8884,0.0012,0.4821,0.8056,0.0527
full_test,standalone_conflict_classifier,3372,1683,0.8979,0.0015,0.4872,0.8116,0.0231
lex_benign_shape,cross_attentive_gate,2018,932,0.8906,0.0001,0.4518,0.81,0.0437
lex_benign_shape,residual_correction_gate,2018,932,0.8957,0.001,0.4279,0.8179,0.0467
lex_benign_shape,standalone_conflict_classifier,2018,932,0.8923,0.002,0.4171,0.8216,0.0324
lex_benign_shape_multi_ip,cross_attentive_gate,606,171,0.7433,0.0036,0.4713,0.744,0.0737
lex_benign_shape_multi_ip,residual_correction_gate,606,171,0.7604,0.0067,0.4161,0.7591,0.0725
lex_benign_shape_multi_ip,standalone_conflict_classifier,606,171,0.7744,0.0226,0.3985,0.7694,0.0682
model_high_conflict,cross_attentive_gate,96,28,0.6762,0.0235,0.8382,0.6948,0.0877
model_high_conflict,residual_correction_gate,96,28,0.6849,0.0251,0.8186,0.6981,0.1121
model_high_conflict,standalone_conflict_classifier,96,28,0.6609,0.0315,0.8627,0.6826,0.1852
multi_ip_dns,cross_attentive_gate,952,285,0.7239,0.0011,0.5562,0.7284,0.073
multi_ip_dns,residual_correction_gate,952,285,0.7342,0.003,0.5357,0.7389,0.0638
multi_ip_dns,standalone_conflict_classifier,952,285,0.7255,0.003,0.5382,0.7377,0.0448
ttl_low,cross_attentive_gate,648,218,0.8886,0.0036,0.4248,0.8179,0.1164
ttl_low,residual_correction_gate,648,218,0.892,0.009,0.3752,0.8472,0.1021
ttl_low,standalone_conflict_classifier,648,218,0.8895,0.0121,0.469,0.8507,0.0417
